,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19,Bosnia and Herzegovina,BIH,23965.6,21441.0,15966.67,13403.99,3162.67,3369.47,4188.03,8493.0,10760.7,10516.1,13955.1,13763.7,14556.0,14871.4,15571.7,16225.4,17910.2,18888.5,20761.2,20589.7,20842.5,23738.2,21960.2,21847.8,19493.7,19615.5,22341.1,22676.0,22600.1,21066.9
20,Belarus,BLR,99830.0,96217.8,87990.4,76424.4,64809.8,57640.6,58651.5,59174.6,57256.5,54954.4,52941.9,51883.8,51843.3,52703.9,56039.4,56779.6,59121.1,57648.9,60531.7,57402.3,61674.7,58550.8,59938.3,59990.2,59496.8,54820.3,55142.4,56005.0,58947.6,57672.2
21,Belize,BLZ,331.9,431.3,502.9,465.4,450.0,463.6,361.0,461.0,452.4,408.8,447.3,525.4,522.2,506.5,440.8,469.7,508.4,534.3,495.3,1464.3,557.0,669.0,667.4,457.9,484.3,676.0,652.4,644.4,631.6,639.8
22,Bolivia,BOL,10412.6,10874.6,11154.2,10201.5,9518.7,8579.5,8285.0,9122.2,8665.2,8223.6,8210.0,8047.5,8301.4,9084.6,9487.5,10052.9,11234.5,12084.4,13107.4,14004.5,15170.9,16614.8,17421.8,18742.2,20409.9,20757.5,22010.2,22745.7,23225.6,22340.7
23,Brazil,BRA,197897.4,205475.3,207865.4,215259.5,222497.5,241283.8,262414.0,281334.9,290587.1,300958.7,313670.7,319375.6,317756.4,310808.0,328517.3,331689.0,335624.5,352555.8,373633.0,350000.8,397931.0,418305.3,454232.8,486844.6,511617.9,485344.0,447077.2,456494.7,433988.8,434297.9
24,Barbados,BRB,982.92,979.83,1178.65,995.94,1029.98,1071.9,1062.77,1164.02,1266.2,1304.1,1241.0,1313.8,1372.0,1383.6,1363.9,1416.1,1466.6,1481.2,1780.4,4617.7,1552.9,1763.65,2121.42,1441.17,1270.47,1267.07,1288.57,1176.67,1235.77,1249.97
25,Brunei Darussalam,BRN,3260.3,3384.5,3585.4,3928.1,4265.1,4600.7,4827.2,5225.2,4517.9,4433.0,4717.9,4708.8,4620.1,5515.5,5103.0,4991.3,7520.7,7143.2,7912.4,7874.3,7170.8,7332.7,7299.4,7208.8,7080.3,6397.7,6968.5,7290.1,7540.0,6986.2
26,Bhutan,BTN,84.0,128.61,121.46,128.36,136.58,162.53,196.56,193.29,196.28,203.31,213.94,231.1,241.12,260.44,289.73,321.23,323.68,321.98,297.65,322.4,397.74,591.0,642.7,666.9,704.1,767.8,930.7,968.6,1051.7,1053.8
27,Botswana,BWA,2807.4,2734.7,3298.3,3249.7,3080.1,3189.8,2915.9,3066.0,3682.2,3858.5,4033.8,3865.6,4026.7,3915.0,3970.3,4278.6,4086.9,4319.8,4392.7,4186.58,3371.7,3883.337,3414.335,5421.539,6988.912,6952.812,6629.312,7334.412,7314.7,7252.5
28,Central African Republic,CAF,147.6,141.6,151.1,157.1,160.3,163.4,166.7,166.6,227.1,236.5,242.5,252.5,249.3,230.4,225.7,223.9,234.2,237.6,171.3,168.0,174.6,194.3,198.4,121.6,131.5,185.7,207.6,223.7,230.3,242.6
